vprog,vth,input_nbr,g_max,tau_in,tau_out,lr,iterations,presentation_time,dt,n_neurons,inhibition_time,accuracy
-0.6,0.16,12000.0,0.004761904761904762,0.06,0.06,0.1,1.0,0.35,0.005,20.0,10.0,59.5
-0.6,0.16,12000.0,0.004761904761904762,0.06,0.06,0.5,1.0,0.35,0.005,20.0,10.0,60.650000000000006
-0.6,0.16,12000.0,0.004761904761904762,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,55.2
-0.625,0.16,12000.0,0.004761904761904762,0.06,0.06,0.1,1.0,0.35,0.005,20.0,10.0,64.75
-0.625,0.16,12000.0,0.004761904761904762,0.06,0.06,0.5,1.0,0.35,0.005,20.0,10.0,61.85000000000001
-0.625,0.16,12000.0,0.004761904761904762,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,60.699999999999996
-0.65,0.16,12000.0,0.004761904761904762,0.06,0.06,0.1,1.0,0.35,0.005,20.0,10.0,63.65
-0.65,0.16,12000.0,0.004761904761904762,0.06,0.06,0.5,1.0,0.35,0.005,20.0,10.0,63.800000000000004
-0.65,0.16,12000.0,0.004761904761904762,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,65.75
-0.675,0.16,12000.0,0.004761904761904762,0.06,0.06,0.1,1.0,0.35,0.005,20.0,10.0,59.4
-0.675,0.16,12000.0,0.004761904761904762,0.06,0.06,0.5,1.0,0.35,0.005,20.0,10.0,65.8
-0.675,0.16,12000.0,0.004761904761904762,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,68.75
-0.7,0.16,12000.0,0.004761904761904762,0.06,0.06,0.1,1.0,0.35,0.005,20.0,10.0,64.95
-0.7,0.16,12000.0,0.004761904761904762,0.06,0.06,0.5,1.0,0.35,0.005,20.0,10.0,64.2
-0.7,0.16,12000.0,0.004761904761904762,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,64.75
-0.725,0.16,12000.0,0.004761904761904762,0.06,0.06,0.1,1.0,0.35,0.005,20.0,10.0,64.9
-0.725,0.16,12000.0,0.004761904761904762,0.06,0.06,0.5,1.0,0.35,0.005,20.0,10.0,62.150000000000006
-0.725,0.16,12000.0,0.004761904761904762,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,59.75
-0.75,0.16,12000.0,0.004761904761904762,0.06,0.06,0.1,1.0,0.35,0.005,20.0,10.0,53.6
-0.75,0.16,12000.0,0.004761904761904762,0.06,0.06,0.5,1.0,0.35,0.005,20.0,10.0,66.55
-0.75,0.16,12000.0,0.004761904761904762,0.06,0.06,1.0,1.0,0.35,0.005,20.0,10.0,63.55
